,,,Colonna45,Colonna43,Colonna41,Colonna40,#,Pokémon,Colonna1,Colonna2,Colonna3,Colonna4,Colonna5,Colonna6,Colonna7,Colonna8,Colonna9,Colonna10,Colonna11,Colonna12,Colonna13,Colonna14,Colonna15,Colonna16,Colonna17,Colonna18,Colonna19,Colonna20,Colonna21,Colonna22,Colonna23,Colonna24,Colonna25,Colonna26,Colonna27,Colonna28,Colonna29,Colonna30,Colonna31,Colonna32,Colonna33,Colonna34,Colonna35,Colonna36,Colonna37,Colonna38,Colonna39
,,,,,,,267,Beautifly,Air Cutter,Bug Buzz,Infestation,Silver Wind,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,268,Cascoon,Bug Bite,Poison Sting,Struggle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,269,Dustox,Bug Buzz,Confusion,Silver Wind,Sludge Bomb,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,270,Lotad,Bubble Beam,Energy Ball,Razor Leaf,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,271,Lombre,Bubble,Bubble Beam,Grass Knot,Ice Beam,Razor Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,272,Ludicolo,Blizzard,Bubble,Energy Ball,Hydro Pump,Ice Beam,Leaf Storm,Razor Leaf,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,273,Seedot,Bullet Seed,Energy Ball,Foul Play,Grass Knot,Quick Attack,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,274,Nuzleaf,Feint Attack,Foul Play,Grass Knot,Leaf Blade,Razor Leaf,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,275,Shiftry,Feint Attack,Foul Play,Hurricane,Leaf Blade,Leaf Tornado,Razor Leaf,Return,Snarl,* Bullet Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,276,Taillow,Aerial Ace,Peck,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,277,Swellow,Aerial Ace,Brave Bird,Sky Attack,Steel Wing,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,278,Wingull,Air Cutter,Ice Beam,Quick Attack,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,279,Pelipper,Blizzard,Hurricane,Hydro Pump,Water Gun,Weather Ball (Water),Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,280,Ralts,Charge Beam,Confusion,Disarming Voice,Psyshock,Return,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,281,Kirlia,Charge Beam,Confusion,Disarming Voice,Psychic,Return,Shadow Sneak,* Draining Kiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,282,Gardevoir,Charge Beam,Charm,Confusion,Dazzling Gleam,Psychic,Return,Shadow Ball,* Synchronoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,283,Surskit,Aqua Jet,Bubble,Bubble Beam,Bug Bite,Signal Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,284,Masquerain,Air Cutter,Air Slash,Bubble Beam,Infestation,Lunge,Ominous Wind,Silver Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,285,Shroomish,Bullet Seed,Energy Ball,Grass Knot,Seed Bomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,286,Breloom,Bullet Seed,Counter,Dynamic Punch,Seed Bomb,Sludge Bomb,* Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,287,Slakoth,Body Slam,Brick Break,Night Slash,Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,288,Vigoroth,Body Slam,Brick Break,Bulldoze,Counter,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,289,Slaking,Earthquake,Hyper Beam,Play Rough,Yawn,* Body Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,290,Nincada,Aerial Ace,Bug Bite,Bug Buzz,Night Slash,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,291,Ninjask,Aerial Ace,Bug Buzz,Fury Cutter,Metal Claw,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,292,Shedinja,Aerial Ace,Bug Bite,Dig,Shadow Claw,Shadow Sneak,**Struggle Bug,✝ Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,293,Whismur,Astonish,Disarming Voice,Flamethrower,Pound,Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,294,Loudred,Bite,Disarming Voice,Flamethrower,Rock Smash,Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,295,Exploud,Astonish,Bite,Crunch,Disarming Voice,Fire Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,295,Exploud,Astonish,Bite,Crunch,Disarming Voice,Fire Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,296,Makuhita,Cross Chop,Heavy Slam,Low Sweep,Rock Smash,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,296,Makuhita,Cross Chop,Heavy Slam,Low Sweep,Rock Smash,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,297,Hariyama,Bullet Punch,Close Combat,Counter,Dynamic Punch,Heavy Slam,Superpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,297,Hariyama,Bullet Punch,Close Combat,Counter,Dynamic Punch,Heavy Slam,Superpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,298,Azurill,Body Slam,Bubble,Bubble Beam,Ice Beam,Splash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,298,Azurill,Body Slam,Bubble,Bubble Beam,Ice Beam,Splash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,299,Nosepass,Rock Blast,Rock Slide,Rock Throw,Spark,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,299,Nosepass,Rock Blast,Rock Slide,Rock Throw,Spark,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,300,Skitty,Dig,Disarming Voice,Feint Attack,Tackle,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,301,Delcatty,Charm,Disarming Voice,Feint Attack,Play Rough,Wild Charge,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,302,Sableye,Feint Attack,Foul Play,Power Gem,Return,Shadow Claw,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,303,Mawile,Astonish,Bite,Fire Fang,Ice Fang,Iron Head,Play Rough,Power-Up Punch,Vise Grip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,304,Aron,Body Slam,Iron Head,Metal Claw,Rock Tomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,305,Lairon,Body Slam,Heavy Slam,Iron Tail,Metal Claw,Rock Slide,Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,306,Aggron,Dragon Tail,Heavy Slam,Iron Tail,Rock Tomb,Smack Down,Stone Edge,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,307,Meditite,Confusion,Ice Punch,Low Sweep,Psyshock,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,308,Medicham,Counter,Dynamic Punch,Ice Punch,Power-Up Punch,Psychic,Psycho Cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,309,Electrike,Discharge,Quick Attack,Spark,Swift,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,310,Manectric,Charge Beam,Flame Burst,Overheat,Snarl,Thunder,Thunder Fang,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,311,Plusle,Discharge,Grass Knot,Quick Attack,Spark,Swift,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,312,Minun,Discharge,Grass Knot,Quick Attack,Spark,Swift,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,313,Volbeat,Bug Buzz,Signal Beam,Struggle Bug,Tackle,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,314,Illumise,Bug Buzz,Dazzling Gleam,Silver Wind,Struggle Bug,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,315,Roselia,Dazzling Gleam,Petal Blizzard,Poison Jab,Razor Leaf,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,316,Gulpin,Gunk Shot,Ice Beam,Pound,Rock Smash,Sludge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,317,Swalot,Acid Spray,Gunk Shot,Ice Beam,Infestation,Rock Smash,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,318,Carvanha,Aqua Jet,Bite,Crunch,Poison Fang,Return,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,319,Sharpedo,Bite,Crunch,Hydro Pump,Poison Fang,Return,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,320,Wailmer,Body Slam,Heavy Slam,Splash,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,321,Wailord,Blizzard,Hyper Beam,Surf,Water Gun,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,322,Numel,Bulldoze,Ember,Heat Wave,Stomp,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,323,Camerupt,Earth Power,Earthquake,Ember,Overheat,Rock Smash,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,324,Torkoal,Earthquake,Ember,Fire Spin,Overheat,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,325,Spoink,Mirror Coat,Psybeam,Shadow Ball,Splash,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,326,Grumpig,Charge Beam,Extrasensory,Mirror Coat,Psychic,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,327,Spinda,Dig,Icy Wind,Psycho Cut,Rock Tomb,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,328,Trapinch,Crunch,Dig,Mud Shot,Return,Sand Tomb,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,329,Vibrava,Bug Buzz,Bulldoze,Dragon Breath,Mud Shot,Return,Sand Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,330,Flygon,Dragon Claw,Dragon Tail,Earthquake,Mud Shot,Return,Stone Edge,* Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,331,Cacnea,Brick Break,Grass Knot,Payback,Poison Sting,Return,Seed Bomb,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,332,Cacturne,Dark Pulse,Dynamic Punch,Grass Knot,Payback,Poison Jab,Return,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,333,Swablu,Aerial Ace,Astonish,Disarming Voice,Ice Beam,Peck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,334,Altaria,Dazzling Gleam,Dragon Breath,Dragon Pulse,Peck,Sky Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,335,Zangoose,Close Combat,Dig,Fury Cutter,Night Slash,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,336,Seviper,Crunch,Iron Tail,Poison Fang,Poison Jab,Wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,337,Lunatone,Confusion,Moonblast,Psychic,Rock Slide,Rock Throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,338,Solrock,Confusion,Psychic,Rock Slide,Rock Throw,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,339,Barboach,Aqua Tail,Ice Beam,Mud Bomb,Mud Shot,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,340,Whiscash,Blizzard,Mud Bomb,Mud Shot,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,341,Corphish,Aqua Jet,Bubble,Bubble Beam,Rock Smash,Vise Grip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,342,Crawdaunt,Bubble Beam,Crabhammer,Night Slash,Snarl,Vise Grip,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,343,Baltoy,Confusion,Dig,Extrasensory,Gyro Ball,Psybeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,344,Claydol,Confusion,Earth Power,Earthquake,Extrasensory,Gyro Ball,Ice Beam,Mud Slap,Psychic,Rock Tomb,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,345,Lileep,Acid,Ancient Power,Grass Knot,Infestation,Mirror Coat,✝ Bullet Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,346,Cradily,Acid,Bulldoze,Bullet Seed,Grass Knot,Infestation,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,347,Anorith,Ancient Power,Aqua Jet,Cross Poison,Scratch,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,348,Armaldo,Cross Poison,Fury Cutter,Rock Blast,Struggle Bug,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,349,Feebas,Mirror Coat,Splash,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,350,Milotic,Blizzard,Dragon Tail,Hyper Beam,Surf,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,351,Castform,Energy Ball,Hex,Hurricane,Tackle,Weather Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,351,Castform-Rainy,Hydro Pump,Tackle,Thunder,Water Gun,Weather Ball (Water),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,351,Castform-Snowy,Blizzard,Ice Beam,Powder Snow,Tackle,Weather Ball (Ice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,351,Castform-Sunny,Ember,Fire Blast,Solar Beam,Tackle,Weather Ball (Fire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,352,Kecleon,Aerial Ace,Flamethrower,Foul Play,Ice Beam,Lick,Shadow Sneak,Sucker Punch,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,353,Shuppet,Astonish,Feint Attack,Night Shade,Ominous Wind,Return,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,354,Banette,Dazzling Gleam,Hex,Return,Shadow Ball,Shadow Claw,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,355,Duskull,Astonish,Hex,Night Shade,Ominous Wind,Return,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,356,Dusclops,Feint Attack,Fire Punch,Hex,Ice Punch,Return,Shadow Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,357,Tropius,Aerial Ace,Air Slash,Leaf Blade,Razor Leaf,Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,358,Chimecho,Astonish,Energy Ball,Extrasensory,Psyshock,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,359,Absol,Dark Pulse,Megahorn,Payback,Psycho Cut,Return,Snarl,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,360,Wynaut,Counter,Mirror Coat,Splash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,361,Snorunt,Avalanche,Hex,Icy Wind,Powder Snow,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,362,Glalie,Avalanche,Frost Breath,Gyro Ball,Ice Shard,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,363,Spheal,Aurora Beam,Body Slam,Rock Smash,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,364,Sealeo,Aurora Beam,Body Slam,Powder Snow,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,365,Walrein,Blizzard,Earthquake,Frost Breath,Water Pulse,Waterfall,* Powder Snow,* Icicle Spear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,366,Clamperl,Body Slam,Ice Beam,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,367,Huntail,Aqua Tail,Bite,Crunch,Ice Beam,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,368,Gorebyss,Confusion,Draining Kiss,Psychic,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,369,Relicanth,Ancient Power,Aqua Tail,Hydro Pump,Water Gun,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,370,Luvdisc,Aqua Jet,Draining Kiss,Splash,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,371,Bagon,Bite,Crunch,Ember,Flamethrower,Return,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,372,Shelgon,Dragon Breath,Dragon Pulse,Ember,Flamethrower,Return,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,373,Salamence,Bite,Draco Meteor,Dragon Tail,Fire Blast,Fire Fang,Hydro Pump,Return,* Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,374,Beldum,Return,Struggle,Take Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,375,Metang,Gyro Ball,Metal Claw,Psychic,Psyshock,Return,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,376,Metagross,Bullet Punch,Earthquake,Flash Cannon,Psychic,Return,Zen Headbutt,* Meteor Mash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,377,Regirock,Focus Blast,Lock-On,Rock Smash,Rock Throw,Stone Edge,Zap Cannon,* Earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,378,Regice,Blizzard,Earthquake,Focus Blast,Frost Breath,Lock-On,Rock Smash,* Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,379,Registeel,Flash Cannon,Focus Blast,Hyper Beam,Lock-On,Metal Claw,Rock Smash,* Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,380,Latias,Charm,Dragon Breath,Outrage,Psychic,Thunder,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,381,Latios,Dragon Breath,Dragon Claw,Psychic,Solar Beam,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,382,Kyogre,Blizzard,Hydro Pump,Surf,Thunder,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,383,Groudon,Dragon Tail,Earthquake,Fire Blast,Mud Shot,Solar Beam,* Fire Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,384,Rayquaza,Aerial Ace,Air Slash,Ancient Power,Dragon Tail,Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,385,Jirachi,Charge Beam,Confusion,Dazzling Gleam,Doom Desire,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,386,Deoxys,Charge Beam,Hyper Beam,Psycho Boost,Thunderbolt,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,386,Deoxys-Attack,Dark Pulse,Poison Jab,Psycho Boost,Zap Cannon,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,386,Deoxys-Defense,Counter,Psycho Boost,Rock Slide,Thunderbolt,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,386,Deoxys-Speed,Charge Beam,Psycho Boost,Swift,Thunderbolt,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,387,Turtwig,Body Slam,Energy Ball,Razor Leaf,Return,Seed Bomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,388,Grotle,Bite,Body Slam,Energy Ball,Razor Leaf,Return,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,389,Torterra,Bite,Earthquake,Razor Leaf,Return,Sand Tomb,Solar Beam,Stone Edge,* Frenzy Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,390,Chimchar,Ember,Flame Charge,Flame Wheel,Flamethrower,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,391,Monferno,Ember,Flame Wheel,Flamethrower,Low Sweep,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,392,Infernape,Close Combat,Fire Spin,Flamethrower,Rock Smash,Solar Beam,* Blast Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,393,Piplup,Bubble,Bubble Beam,Drill Peck,Icy Wind,Pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,394,Prinplup,Bubble,Bubble Beam,Hydro Pump,Icy Wind,Metal Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,395,Empoleon,Blizzard,Drill Peck,Flash Cannon,Hydro Pump,Metal Claw,Waterfall,* Hydro Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,396,Starly,Aerial Ace,Brave Bird,Quick Attack,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,397,Staravia,Aerial Ace,Brave Bird,Heat Wave,Quick Attack,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,398,Staraptor,Brave Bird,Close Combat,Heat Wave,Quick Attack,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,399,Bidoof,Crunch,Grass Knot,Hyper Fang,Tackle,Take Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,400,Bibarel,Hyper Beam,Hyper Fang,Surf,Take Down,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,401,Kricketot,Bug Bite,Struggle,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,402,Kricketune,Aerial Ace,Bug Buzz,Fury Cutter,Struggle Bug,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,403,Shinx,Discharge,Spark,Swift,Tackle,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,404,Luxio,Bite,Crunch,Spark,Thunderbolt,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,405,Luxray,Crunch,Hidden Power,Hyper Beam,Snarl,Spark,Wild Charge,* Psychic Fangs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,406,Budew,Energy Ball,Grass Knot,Hidden Power,Razor Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,407,Roserade,Dazzling Gleam,Grass Knot,Leaf Storm,Poison Jab,Razor Leaf,Sludge Bomb,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,408,Cranidos,Ancient Power,Bulldoze,Rock Tomb,Take Down,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,409,Rampardos,Flamethrower,Outrage,Rock Slide,Smack Down,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,410,Shieldon,Ancient Power,Heavy Slam,Iron Tail,Rock Tomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,411,Bastiodon,Flamethrower,Flash Cannon,Iron Tail,Smack Down,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,412,Burmy,Quick Attack,Struggle,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,413,Wormadam,Bug Bite,Bug Buzz,Confusion,Energy Ball,Psybeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,413,Wormadam-Sandy,Bug Bite,Bug Buzz,Bulldoze,Confusion,Psybeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,413,Wormadam-Trash,Bug Bite,Bug Buzz,Confusion,Iron Head,Psybeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,414,Mothim,Aerial Ace,Air Slash,Bug Bite,Bug Buzz,Psybeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,415,Combee,Bug Bite,Bug Buzz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
